Rainfall_Bin,Avg_Demand_MW,Std_Demand_MW,Count
Dry (0-1mm),26116.82361111111,4147.673285416217,1440
Light (1-5mm),26208.58402777778,5638.422263230235,5760
Moderate (5-10mm),27220.135190217392,6038.5303969210345,4416
Heavy (10-20mm),27484.97447257384,6451.145803142924,18960
Very Heavy (>20mm),28839.84560930499,7003.976488125903,153552
