Date,Demand_Avg_MW,Demand_Min_MW,Demand_Max_MW,Demand_Std_MW,Wind_Avg_MW,Solar_Avg_MW,Price_Avg_kWh,Temperature_Avg_C,Rainfall_Total_mm,Year,Month,DayOfWeek,IsWeekend
2015-01-01,30052.020833333332,22718.0,38742.0,5007.534121529293,2656.8958333333335,44.875,0.14043116400795336,6.099999999999999,1814.3999999999999,2015,1,3,0
2015-01-02,32603.166666666668,21985.0,45294.0,6990.675078755813,2676.2916666666665,378.3125,0.14043116400795336,6.099999999999999,1814.3999999999999,2015,1,4,0
2015-01-03,34458.0,24218.0,45095.0,6591.430726426288,1151.0833333333333,89.9375,0.14043116400795336,6.099999999999999,1814.3999999999999,2015,1,5,1
2015-01-04,35096.833333333336,26067.0,46465.0,6585.604815060026,838.4375,219.8125,0.14043116400795336,6.099999999999999,1814.3999999999999,2015,1,6,1
2015-01-05,39260.25,26520.0,49638.0,8100.698899451479,1257.9166666666667,131.47916666666666,0.14043116400795336,6.099999999999999,1814.3999999999999,2015,1,0,0
2015-01-06,38884.229166666664,26466.0,49415.0,7620.101854011807,1629.0625,210.0,0.14043116400795336,6.099999999999999,1814.3999999999999,2015,1,1,0
2015-01-07,39048.083333333336,27095.0,49777.0,7453.9882223169425,2431.1458333333335,95.375,0.14043116400795336,6.099999999999999,1814.3999999999999,2015,1,2,0
2015-01-08,38508.291666666664,26364.0,48962.0,7610.379591724836,2137.9375,256.375,0.14043116400795336,6.099999999999999,1814.3999999999999,2015,1,3,0
2015-01-09,37077.458333333336,26098.0,47437.0,6879.577114534198,2976.5208333333335,211.04166666666666,0.14043116400795336,6.099999999999999,1814.3999999999999,2015,1,4,0
2015-01-10,33076.479166666664,23748.0,43792.0,5901.789342764213,3123.6458333333335,239.0625,0.14043116400795336,6.099999999999999,1814.3999999999999,2015,1,5,1
2015-01-11,33218.791666666664,23916.0,44715.0,6542.165026370821,2991.9583333333335,240.14583333333334,0.14043116400795336,6.099999999999999,1814.3999999999999,2015,1,6,1
2015-01-12,37921.791666666664,24575.0,50065.0,8435.179330556786,2623.3958333333335,93.875,0.14043116400795336,6.099999999999999,1814.3999999999999,2015,1,0,0
2015-01-13,38956.958333333336,26628.0,49143.0,7552.59873538913,1992.0208333333333,249.89583333333334,0.14043116400795336,6.099999999999999,1814.3999999999999,2015,1,1,0
2015-01-14,39549.708333333336,27995.0,49889.0,7372.207533237289,2475.4166666666665,371.75,0.14043116400795336,6.099999999999999,1814.3999999999999,2015,1,2,0
2015-01-15,38459.354166666664,26560.0,49223.0,7351.10279030292,3044.1666666666665,302.2708333333333,0.14043116400795336,5.2,3043.2,2015,1,3,0
2015-01-16,39606.770833333336,27685.0,49326.0,7409.613801747438,1959.8541666666667,303.3125,0.14043116400795336,5.2,3043.2,2015,1,4,0
2015-01-17,37148.916666666664,27962.0,47300.0,5852.813154603097,1209.6041666666667,331.1875,0.14043116400795336,5.2,3043.2,2015,1,5,1
2015-01-18,36471.75,27423.0,47864.0,6305.429674731039,1032.0416666666667,336.3333333333333,0.14043116400795336,5.2,3043.2,2015,1,6,1
2015-01-19,41911.6875,28769.0,52516.0,8232.886883237306,397.1666666666667,366.9375,0.14043116400795336,5.2,3043.2,2015,1,0,0
2015-01-20,42711.020833333336,31038.0,51987.0,7410.031000278517,852.5833333333334,291.5416666666667,0.14043116400795336,5.2,3043.2,2015,1,1,0
2015-01-21,42901.8125,30371.0,52389.0,7920.145930463681,650.7916666666666,106.29166666666667,0.14043116400795336,5.2,3043.2,2015,1,2,0
2015-01-22,42592.3125,31090.0,51886.0,7238.312763774684,498.2916666666667,250.375,0.14043116400795336,5.2,3043.2,2015,1,3,0
2015-01-23,41142.770833333336,30684.0,50605.0,6753.422408154325,1757.25,358.3541666666667,0.14043116400795336,5.2,3043.2,2015,1,4,0
2015-01-24,35968.895833333336,27259.0,46881.0,5548.971383459316,1859.3958333333333,526.5,0.14043116400795336,5.2,3043.2,2015,1,5,1
2015-01-25,35249.541666666664,26720.0,45660.0,5951.789003203361,1619.8958333333333,234.02083333333334,0.14043116400795336,5.2,3043.2,2015,1,6,1
2015-01-26,39046.416666666664,26502.0,51055.0,7873.287871518573,1922.1875,256.125,0.14043116400795336,5.2,3043.2,2015,1,0,0
2015-01-27,40164.895833333336,28680.0,51082.0,7345.956506059537,1498.0208333333333,229.39583333333334,0.14043116400795336,5.2,3043.2,2015,1,1,0
2015-01-28,38851.333333333336,26477.0,50340.0,7537.729920513865,2911.4583333333335,267.6458333333333,0.14043116400795336,5.2,3043.2,2015,1,2,0
2015-01-29,40707.3125,27991.0,51598.0,7876.473355334051,2266.9166666666665,294.8125,0.14043116400795336,5.2,3043.2,2015,1,3,0
2015-01-30,40325.354166666664,29743.0,50047.0,6613.563225030189,1846.0833333333333,418.75,0.14043116400795336,5.2,3043.2,2015,1,4,0
2015-01-31,36166.354166666664,27580.0,45506.0,5398.879546837364,2488.9166666666665,243.20833333333334,0.14043116400795336,5.2,3043.2,2015,1,5,1
