Season,Avg_Demand_MW,Std_Demand_MW,Min_Demand_MW,Max_Demand_MW
Autumn,28698.05452880453,6563.251340883858,14965.0,49299.0
Spring,27807.65312088274,6006.182523325859,12803.0,49807.0
Summer,24696.375144104084,4669.076222095288,13248.0,37568.0
Winter,33138.22280966768,7160.621453039348,15465.0,52516.0
