Weekday,Avg_Demand_MW,Std_Demand_MW,Day_Name
0,29218.002105110336,7307.767849548968,Monday
1,29835.033101045297,6921.376033686955,Tuesday
2,29861.10431184669,6862.86489245113,Wednesday
3,29772.370354239258,6839.095288610786,Thursday
4,29153.21649970964,6644.249608353324,Friday
5,26319.74833042973,5819.714651240396,Saturday
6,25783.18111207898,6162.558138717296,Sunday
